目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
198.55.103.168:443,94.26,92.01,0.00,40.90,IE,爱尔兰·IE,Cloudflare,198.55.103.168:443
167.71.140.229:443,95.67,93.63,0.00,28.91,GB,英国·GB,Cloudflare,167.71.140.229:443
206.189.125.53:2053,95.93,94.39,0.00,24.86,GB,英国·GB,Cloudflare,206.189.125.53:2053
144.126.227.160:443,95.99,93.55,0.00,31.23,GB,英国·GB,Cloudflare,
138.68.130.235:8443,96.80,93.59,0.00,33.00,GB,英国·GB,Cloudflare,138.68.130.235:8443
178.62.115.194:443,96.83,94.51,0.00,37.38,GB,英国·GB,Cloudflare,
141.98.233.6:443,97.11,94.89,0.00,25.55,BE,比利时·BE,Cloudflare,141.98.233.6:443
146.0.79.84:443,97.23,95.60,0.00,2915.19,NL,荷兰·NL,Cloudflare,
46.8.225.115:2053,98.56,94.71,0.00,25.81,FR,法国·FR,Cloudflare,46.8.225.115:2053
31.59.103.137:443,99.32,95.52,0.00,31.73,FR,法国·FR,Cloudflare,
109.69.57.60:443,99.48,93.27,0.00,25.61,NL,荷兰·NL,Cloudflare,
95.182.81.172:443,99.75,94.98,0.00,25.82,FR,法国·FR,Cloudflare,95.182.81.172:443
31.57.109.126:2053,99.75,96.65,0.00,30.84,FR,法国·FR,Cloudflare,31.57.109.126:2053
45.39.255.232:8443,99.88,96.05,0.00,33.54,FR,法国·FR,Cloudflare,
103.90.75.41:8443,100.10,95.35,0.00,29.46,NL,荷兰·NL,Cloudflare,103.90.75.41:8443
88.218.122.214:443,100.51,99.40,0.00,26.81,NL,荷兰·NL,Cloudflare,
109.120.142.143:443,100.54,99.80,0.00,37.67,NL,荷兰·NL,Cloudflare,109.120.142.143:443
107.191.47.95:443,100.62,98.48,0.00,26.99,FR,法国·FR,Cloudflare,107.191.47.95:443
95.182.82.191:443,100.86,98.64,0.00,24.40,FR,法国·FR,Cloudflare,95.182.82.191:443
195.133.38.102:443,101.20,98.74,0.00,27.57,NL,荷兰·NL,Cloudflare,
109.120.176.17:443,101.28,100.28,0.00,31.59,DE,德国·DE,Cloudflare,109.120.176.17:443
217.60.63.233:2053,101.43,100.41,0.00,24.08,FR,法国·FR,Cloudflare,217.60.63.233:2053
195.133.38.113:443,101.56,93.43,0.00,28.95,NL,荷兰·NL,Cloudflare,
45.12.219.225:8443,101.88,97.61,0.00,31.00,NL,荷兰·NL,Cloudflare,45.12.219.225:8443
31.59.105.119:2053,101.94,98.00,0.00,24.29,FR,法国·FR,Cloudflare,31.59.105.119:2053
198.211.120.58:8443,101.98,98.07,0.00,27.04,NL,荷兰·NL,Cloudflare,198.211.120.58:8443
141.227.186.38:2053,102.54,98.28,0.00,25.85,BE,比利时·BE,Cloudflare,141.227.186.38:2053
165.232.81.187:8443,102.86,98.16,0.00,28.52,NL,荷兰·NL,Cloudflare,165.232.81.187:8443
104.248.80.71:8443,102.96,98.66,0.00,25.86,NL,荷兰·NL,Cloudflare,104.248.80.71:8443
109.176.202.20:443,102.97,101.00,0.00,27.06,DK,丹麦·DK,Cloudflare,109.176.202.20:443
195.58.38.63:443,103.05,101.78,0.00,26.77,DE,德国·DE,Cloudflare,
77.239.104.60:443,103.49,102.21,0.00,16.84,DE,德国·DE,Cloudflare,
188.226.149.72:443,103.50,99.40,0.00,31.40,NL,荷兰·NL,Cloudflare,188.226.149.72:443
93.185.163.5:443,103.65,98.13,0.00,24.77,NL,荷兰·NL,Cloudflare,
89.127.196.42:443,103.94,103.36,0.00,31.15,CH,瑞士·CH,Cloudflare,
194.71.227.213:443,104.04,100.50,0.00,25.59,BE,比利时·BE,Cloudflare,194.71.227.213:443
95.179.252.2:443,104.19,99.14,0.00,47.79,DE,德国·DE,Cloudflare,
45.154.35.188:8443,104.79,97.24,0.00,13.22,NL,荷兰·NL,Cloudflare,45.154.35.188:8443
80.241.220.153:2083,105.48,102.92,0.00,22.73,FR,法国·FR,Cloudflare,80.241.220.153:2083
85.159.229.122:443,106.03,104.13,0.00,29.86,IE,爱尔兰·IE,Cloudflare,85.159.229.122:443
152.53.136.203:443,106.76,105.63,0.00,10.17,DE,德国·DE,Cloudflare,
51.195.102.86:443,107.18,104.55,0.00,15.69,DE,德国·DE,Cloudflare,
45.134.15.58:443,108.02,106.36,0.00,5495.34,DE,德国·DE,Cloudflare,
82.40.49.242:2053,108.06,106.32,0.00,31.73,FR,法国·FR,Cloudflare,82.40.49.242:2053
77.239.121.232:443,108.26,105.03,0.00,38.91,DE,德国·DE,Cloudflare,
89.185.81.54:443,108.42,104.32,0.00,39.39,NO,挪威·NO,Cloudflare,89.185.81.54:443
178.250.187.86:443,108.45,107.73,0.00,39.19,DE,德国·DE,Cloudflare,
82.165.190.185:443,108.54,105.75,0.00,1527.10,DE,德国·DE,Cloudflare,
51.195.102.201:443,109.05,107.52,0.00,494.93,DE,德国·DE,Cloudflare,
45.90.59.186:443,109.27,107.63,0.00,42.33,CH,瑞士·CH,Cloudflare,
195.123.244.28:443,109.50,109.25,0.00,41.89,CZ,捷克·CZ,Cloudflare,195.123.244.28:443
185.146.234.242:443,109.77,100.76,0.00,33.74,IS,IS·IS,Cloudflare,
185.167.234.192:443,109.80,109.13,0.00,29.37,CH,瑞士·CH,Cloudflare,
49.12.210.117:443,110.05,107.56,0.00,443.77,DE,德国·DE,Cloudflare,
31.57.190.73:443,110.33,109.08,0.00,41.75,ES,西班牙·ES,Cloudflare,31.57.190.73:443
179.237.64.55:2053,110.35,107.93,0.00,44.42,CH,瑞士·CH,Cloudflare,179.237.64.55:2053
179.237.70.208:443,110.37,107.30,0.00,38.42,CH,瑞士·CH,Cloudflare,179.237.70.208:443
172.233.97.34:443,110.37,108.04,0.00,35.68,ES,西班牙·ES,Cloudflare,172.233.97.34:443
203.98.67.146:443,110.39,110.02,0.00,46.06,AT,奥地利·AT,Cloudflare,203.98.67.146:443
147.45.114.52:443,110.49,108.37,0.00,34.94,NL,荷兰·NL,Cloudflare,
83.228.199.3:443,110.72,107.33,0.00,43.28,CH,瑞士·CH,Cloudflare,
2.59.219.220:443,110.97,105.93,0.00,41.73,CH,瑞士·CH,Cloudflare,2.59.219.220:443
31.57.190.33:443,110.99,107.09,0.00,41.07,ES,西班牙·ES,Cloudflare,31.57.190.33:443
83.228.193.177:443,111.10,109.77,0.00,38.25,CH,瑞士·CH,Cloudflare,
195.123.245.46:8443,111.22,109.71,0.00,42.72,CZ,捷克·CZ,Cloudflare,195.123.245.46:8443
132.243.203.219:8443,111.29,110.20,0.00,39.77,AT,奥地利·AT,Cloudflare,
49.12.210.56:443,111.35,107.90,0.00,1491.60,DE,德国·DE,Cloudflare,
132.243.203.9:8443,111.43,110.20,0.00,39.74,AT,奥地利·AT,Cloudflare,
207.241.172.230:2087,111.44,110.56,0.00,41.30,DE,德国·DE,Cloudflare,
132.243.203.225:8443,111.48,110.11,0.00,34.85,AT,奥地利·AT,Cloudflare,132.243.203.225:8443
188.244.117.27:443,111.50,110.17,0.00,41.11,CH,瑞士·CH,Cloudflare,
193.17.183.169:8443,111.52,111.16,0.00,39.92,ES,西班牙·ES,Cloudflare,193.17.183.169:8443
2.58.95.52:443,111.55,110.57,0.00,38.24,PL,波兰·PL,Cloudflare,2.58.95.52:443
45.90.59.18:443,111.56,107.38,0.00,33.95,CH,瑞士·CH,Cloudflare,45.90.59.18:443
45.144.172.33:443,111.66,108.00,0.00,41.43,IT,意大利·IT,Cloudflare,45.144.172.33:443
31.57.190.36:443,111.87,110.94,0.00,36.32,ES,西班牙·ES,Cloudflare,
89.46.42.92:8443,112.10,111.28,0.00,43.22,SK,SK·SK,Cloudflare,
179.255.191.84:443,112.23,109.01,0.00,42.46,CH,瑞士·CH,Cloudflare,179.255.191.84:443
185.121.12.44:443,112.39,110.58,0.00,39.87,ES,西班牙·ES,Cloudflare,
195.123.244.20:443,112.50,109.51,0.00,43.45,CZ,捷克·CZ,Cloudflare,
185.111.109.47:443,112.60,106.89,0.00,44.19,DK,丹麦·DK,Cloudflare,185.111.109.47:443
45.195.200.151:443,112.61,109.84,0.00,40.30,NL,荷兰·NL,Cloudflare,
146.70.233.51:443,112.62,110.06,0.00,38.29,CH,瑞士·CH,Cloudflare,146.70.233.51:443
57.131.32.25:2053,112.73,110.54,0.00,33.39,IT,意大利·IT,Cloudflare,57.131.32.25:2053
195.88.89.92:8443,112.80,107.16,0.00,37.04,DK,丹麦·DK,Cloudflare,
45.151.70.148:8443,113.12,111.06,0.00,32.91,SK,SK·SK,Cloudflare,
194.182.80.100:443,113.20,111.72,0.00,34.31,CZ,捷克·CZ,Cloudflare,194.182.80.100:443
193.124.58.171:443,113.70,108.49,0.00,31.63,CZ,捷克·CZ,Cloudflare,193.124.58.171:443
195.96.132.189:443,113.72,110.53,0.00,30.93,ES,西班牙·ES,Cloudflare,195.96.132.189:443
212.227.144.37:8443,113.85,112.88,0.00,31.11,ES,西班牙·ES,Cloudflare,212.227.144.37:8443
217.154.185.87:443,114.03,113.53,0.00,40.21,ES,西班牙·ES,Cloudflare,217.154.185.87:443
172.238.238.203:2053,114.18,111.43,0.00,31.29,IT,意大利·IT,Cloudflare,172.238.238.203:2053
194.5.98.105:8443,114.44,111.04,0.00,39.81,NO,挪威·NO,Cloudflare,194.5.98.105:8443
93.123.113.47:443,114.59,111.30,0.00,37.70,PL,波兰·PL,Cloudflare,
193.124.56.100:443,115.19,109.56,0.00,40.55,CZ,捷克·CZ,Cloudflare,193.124.56.100:443
185.112.146.236:443,115.66,114.76,0.00,31.99,IS,IS·IS,Cloudflare,
180.149.37.38:8443,115.75,114.98,0.00,34.97,HU,匈牙利·HU,Cloudflare,180.149.37.38:8443
70.34.243.176:443,115.78,109.98,0.00,41.57,PL,波兰·PL,Cloudflare,70.34.243.176:443
94.177.160.180:443,116.14,112.47,0.00,36.22,IT,意大利·IT,Cloudflare,94.177.160.180:443
89.147.111.199:443,116.48,114.95,0.00,31.38,IS,IS·IS,Cloudflare,
103.167.234.26:443,116.52,110.61,0.00,29.85,PL,波兰·PL,Cloudflare,103.167.234.26:443
84.208.211.208:8443,116.59,114.60,0.00,28.32,NO,挪威·NO,Cloudflare,84.208.211.208:8443
193.180.213.155:443,116.70,114.01,0.00,38.16,DK,丹麦·DK,Cloudflare,193.180.213.155:443
45.194.66.96:443,116.72,111.54,0.00,34.79,PL,波兰·PL,Cloudflare,45.194.66.96:443
193.180.211.92:8443,116.77,114.13,0.00,40.87,DK,丹麦·DK,Cloudflare,193.180.211.92:8443
193.124.57.24:2087,116.77,113.13,0.00,35.77,CZ,捷克·CZ,Cloudflare,193.124.57.24:2087
70.34.243.176:2087,117.15,116.66,0.00,35.68,PL,波兰·PL,Cloudflare,70.34.243.176:2087
62.182.193.220:443,117.19,111.06,0.00,31.04,SE,瑞典·SE,Cloudflare,
193.181.212.81:443,117.41,114.17,0.00,37.74,DK,丹麦·DK,Cloudflare,193.181.212.81:443
80.79.121.41:443,117.54,116.77,0.00,289.28,EE,EE·EE,Cloudflare,
45.142.140.132:443,117.63,115.30,0.00,29.89,SE,瑞典·SE,Cloudflare,45.142.140.132:443
45.153.48.236:8443,117.63,116.17,0.00,36.87,DK,丹麦·DK,Cloudflare,
89.147.108.16:8443,117.71,115.14,0.00,33.07,IS,IS·IS,Cloudflare,
152.53.111.169:443,117.74,116.95,0.00,37.81,AT,奥地利·AT,Cloudflare,152.53.111.169:443
81.29.149.219:8443,117.95,116.27,0.00,38.78,NO,挪威·NO,Cloudflare,81.29.149.219:8443
193.180.210.125:8443,118.27,117.24,0.00,36.64,DK,丹麦·DK,Cloudflare,193.180.210.125:8443
188.127.247.149:443,118.57,115.46,0.00,35.57,CZ,捷克·CZ,Cloudflare,
185.114.116.54:443,118.70,116.79,0.00,31.51,EE,EE·EE,Cloudflare,
38.180.108.148:443,119.03,117.33,0.00,34.14,HU,匈牙利·HU,Cloudflare,38.180.108.148:443
193.181.213.173:443,119.04,117.65,0.00,34.42,DK,丹麦·DK,Cloudflare,193.181.213.173:443
45.144.51.254:8443,119.19,112.09,0.00,33.27,PL,波兰·PL,Cloudflare,45.144.51.254:8443
92.113.150.186:8443,119.41,113.37,0.00,37.47,DK,丹麦·DK,Cloudflare,
151.243.196.148:8443,119.85,117.17,0.00,34.54,PL,波兰·PL,Cloudflare,
178.208.91.177:443,120.49,107.13,0.00,39.84,CZ,捷克·CZ,Cloudflare,178.208.91.177:443
82.118.23.154:8443,120.72,118.33,0.00,35.34,PL,波兰·PL,Cloudflare,82.118.23.154:8443
185.179.82.201:443,120.80,118.97,0.00,29.91,BY,BY·BY,Cloudflare,
212.60.4.134:443,121.30,119.23,0.00,28.53,BY,BY·BY,Cloudflare,
185.179.82.246:443,122.17,119.33,0.00,36.05,BY,BY·BY,Cloudflare,
45.136.117.58:8443,122.49,116.08,0.00,44.37,FI,芬兰·FI,Cloudflare,45.136.117.58:8443
31.58.137.8:8443,122.60,116.96,0.00,38.42,LV,LV·LV,Cloudflare,
185.48.250.138:443,122.70,121.55,0.00,32.52,RS,RS·RS,Cloudflare,
185.48.251.115:443,122.80,122.45,0.00,35.31,RS,RS·RS,Cloudflare,
185.48.251.100:443,122.94,121.59,0.00,41.38,RS,RS·RS,Cloudflare,
84.32.209.76:443,123.04,122.39,0.00,35.46,LT,LT·LT,Cloudflare,
45.12.68.99:443,123.14,115.99,0.00,33.03,FI,芬兰·FI,Cloudflare,45.12.68.99:443
130.49.163.54:2053,123.29,121.64,0.00,28.36,RS,RS·RS,Cloudflare,
5.34.209.198:443,123.89,122.10,0.00,41.47,LV,LV·LV,Cloudflare,
185.48.250.175:443,124.27,123.99,0.00,34.60,RS,RS·RS,Cloudflare,
185.48.250.113:443,124.28,123.75,0.00,32.20,RS,RS·RS,Cloudflare,
82.47.22.22:443,124.65,116.53,0.00,39.04,EE,EE·EE,Cloudflare,
38.180.239.173:443,124.90,123.15,0.00,41.26,RS,RS·RS,Cloudflare,
188.255.236.84:2087,125.19,116.97,0.00,42.08,EE,EE·EE,Cloudflare,
95.182.90.45:8443,125.22,119.14,0.00,45.51,LV,LV·LV,Cloudflare,
83.147.252.27:443,125.38,123.96,0.00,19.92,FI,芬兰·FI,Cloudflare,
185.23.236.107:443,125.38,120.25,0.00,36.35,EE,EE·EE,Cloudflare,
31.57.26.227:8443,125.46,118.89,0.00,41.29,LV,LV·LV,Cloudflare,
194.36.177.140:443,125.59,115.86,0.00,31.14,FI,芬兰·FI,Cloudflare,
95.85.243.122:443,125.62,116.68,0.00,40.38,EE,EE·EE,Cloudflare,
37.27.217.102:443,125.66,123.41,0.00,32.98,FI,芬兰·FI,Cloudflare,37.27.217.102:443
38.180.100.80:443,125.92,122.33,0.00,40.45,RS,RS·RS,Cloudflare,
82.152.132.14:443,126.01,124.66,0.00,31.42,RO,罗马尼亚·RO,Cloudflare,82.152.132.14:443
13.140.29.13:443,126.30,124.26,0.00,35.59,BG,保加利亚·BG,Cloudflare,13.140.29.13:443
5.42.221.131:443,126.65,120.02,0.00,35.23,EE,EE·EE,Cloudflare,
62.60.234.29:443,126.65,119.11,0.00,40.20,LV,LV·LV,Cloudflare,
104.152.48.248:443,127.00,126.28,0.00,35.65,BG,保加利亚·BG,Cloudflare,
94.156.189.144:8443,127.34,126.45,0.00,43.19,BG,保加利亚·BG,Cloudflare,94.156.189.144:8443
83.147.241.139:2096,127.49,126.20,0.00,35.23,BG,保加利亚·BG,Cloudflare,83.147.241.139:2096
185.223.253.130:443,127.79,126.51,0.00,40.92,BG,保加利亚·BG,Cloudflare,
193.233.139.34:443,128.47,122.68,0.00,45.30,FI,芬兰·FI,Cloudflare,
185.80.128.24:8443,128.89,121.31,0.00,30.88,LT,LT·LT,Cloudflare,
209.131.70.229:443,128.94,127.27,0.00,40.83,EE,EE·EE,Cloudflare,
85.204.107.40:8443,129.20,125.49,0.00,33.64,RO,罗马尼亚·RO,Cloudflare,85.204.107.40:8443
212.87.222.2:443,129.65,121.54,0.00,43.40,FI,芬兰·FI,Cloudflare,212.87.222.2:443
91.215.153.127:443,129.78,127.38,0.00,236.29,BG,保加利亚·BG,Cloudflare,
195.162.68.79:443,129.80,128.20,0.00,42.78,IS,IS·IS,Cloudflare,
78.17.85.111:8443,130.03,118.70,0.00,43.04,FI,芬兰·FI,Cloudflare,
185.66.71.155:443,130.08,126.71,0.00,13.38,BY,BY·BY,Cloudflare,
185.194.53.139:8443,130.42,127.02,0.00,22.28,EE,EE·EE,Cloudflare,
185.39.30.18:2087,130.47,128.49,0.00,34.60,RO,罗马尼亚·RO,Cloudflare,185.39.30.18:2087
45.83.181.112:443,130.57,130.19,0.00,47.97,EE,EE·EE,Cloudflare,
37.252.6.119:443,130.84,123.26,0.00,40.04,PL,波兰·PL,Cloudflare,37.252.6.119:443
85.90.197.156:443,131.11,130.28,0.00,36.14,GR,希腊·GR,Cloudflare,85.90.197.156:443
85.90.197.53:443,131.43,130.30,0.00,36.44,GR,希腊·GR,Cloudflare,85.90.197.53:443
185.241.7.178:443,131.64,131.40,0.00,35.31,IL,以色列·IL,Cloudflare,185.241.7.178:443
64.188.125.121:443,131.69,126.37,0.00,42.49,FI,芬兰·FI,Cloudflare,64.188.125.121:443
193.169.228.116:443,131.79,130.90,0.00,42.00,IL,以色列·IL,Cloudflare,193.169.228.116:443
38.54.59.70:443,132.92,131.13,0.00,37.11,EG,埃及·EG,Cloudflare,38.54.59.70:443
147.45.151.179:443,132.93,129.15,0.00,41.39,RU,俄罗斯·RU,Cloudflare,
193.187.132.11:2053,133.69,132.91,0.00,14.58,TR,土耳其·TR,Cloudflare,
77.83.245.48:443,134.42,132.99,0.00,39.44,TR,土耳其·TR,Cloudflare,
185.162.10.121:443,134.79,132.53,0.00,3234.65,BG,保加利亚·BG,Cloudflare,
130.94.1.177:443,134.82,133.59,0.00,41.81,TR,土耳其·TR,Cloudflare,130.94.1.177:443
144.31.217.95:443,134.89,129.90,0.00,39.27,NO,挪威·NO,Cloudflare,144.31.217.95:443
62.133.63.241:443,135.10,133.69,0.00,6228.34,TR,土耳其·TR,Cloudflare,
130.94.0.228:443,135.23,134.21,0.00,35.81,TR,土耳其·TR,Cloudflare,130.94.0.228:443
38.180.253.71:443,135.42,133.40,0.00,36.72,RO,罗马尼亚·RO,Cloudflare,38.180.253.71:443
107.181.155.40:8443,135.73,134.10,0.00,33.92,TR,土耳其·TR,Cloudflare,107.181.155.40:8443
193.124.46.93:443,136.00,135.13,0.00,35.44,TR,土耳其·TR,Cloudflare,
212.113.103.212:8443,136.04,126.50,0.00,29.09,GB,英国·GB,Cloudflare,212.113.103.212:8443
104.239.87.51:443,136.54,135.24,0.00,41.26,TR,土耳其·TR,Cloudflare,104.239.87.51:443
91.239.6.40:443,136.96,133.99,0.00,41.23,AL,AL·AL,Cloudflare,
185.255.93.189:443,138.36,136.44,0.00,37.81,TR,土耳其·TR,Cloudflare,185.255.93.189:443
45.10.190.30:443,138.77,137.85,0.00,37.40,GR,希腊·GR,Cloudflare,45.10.190.30:443
217.156.65.62:443,139.17,136.92,0.00,34.56,MD,MD·MD,Cloudflare,
80.96.113.48:443,139.30,136.20,0.00,34.41,MD,MD·MD,Cloudflare,
77.110.96.49:443,139.55,124.91,0.00,37.86,FI,芬兰·FI,Cloudflare,
176.42.68.134:2053,139.95,139.24,0.00,24.35,TR,土耳其·TR,Cloudflare,176.42.68.134:2053
193.36.38.222:443,140.12,136.22,0.00,37.75,MD,MD·MD,Cloudflare,
168.100.9.20:443,141.08,137.33,0.00,31.97,NL,荷兰·NL,Cloudflare,
188.132.183.40:443,141.43,140.46,0.00,19.33,TR,土耳其·TR,Cloudflare,188.132.183.40:443
5.181.158.96:443,141.57,138.66,0.00,36.36,MD,MD·MD,Cloudflare,
109.120.156.132:443,143.72,125.05,0.00,37.92,GB,英国·GB,Cloudflare,109.120.156.132:443
153.121.45.101:443,144.67,142.29,0.00,41.16,JP,日本·JP,Cloudflare,
154.12.190.38:443,144.98,142.28,0.00,869.43,JP,日本·JP,Cloudflare,
139.162.75.44:443,145.19,142.53,0.00,36.43,JP,日本·JP,Cloudflare,139.162.75.44:443
104.128.137.133:443,145.29,139.33,0.00,33.24,RU,俄罗斯·RU,Cloudflare,
43.165.191.60:443,145.53,142.70,0.00,39.26,JP,日本·JP,Cloudflare,43.165.191.60:443
213.165.33.192:443,145.54,128.04,0.00,36.89,SE,瑞典·SE,Cloudflare,
35.79.170.43:443,145.75,142.84,0.00,39.31,JP,日本·JP,Cloudflare,35.79.170.43:443
45.32.57.54:8443,146.13,142.02,0.00,41.06,JP,日本·JP,Cloudflare,
172.105.225.6:443,146.47,144.74,0.00,40.32,JP,日本·JP,Cloudflare,172.105.225.6:443
172.238.19.67:443,147.57,144.81,0.00,37.67,JP,日本·JP,Cloudflare,
194.58.109.195:443,148.67,146.48,0.00,4265.06,RU,俄罗斯·RU,Cloudflare,
